id;holder_login;title;purpose;status;issued_at;expires_at;issuer_did;sd_jwt;claims_summary;vc_ref
1;for;hence flashy bar;boo inside grass;EXPIRED;2026-05-29T03:57:34;2026-05-28T18:02:09;citizen about;../fake-data/blob/hipster.txt;in oblong;faithfully whoa qua
2;which;holster mortise both;aside exterior tomorrow;ACTIVE;2026-05-28T18:39:43;2026-05-29T05:36:35;fortunately;../fake-data/blob/hipster.txt;moralise youthfully;yippee importance low
3;devoted;aha these;yowza usefully allocation;ACTIVE;2026-05-28T23:42:12;2026-05-29T14:29:09;sonar dim;../fake-data/blob/hipster.txt;sonnet at;but oh
4;handle;yet omelet treasure;so jubilantly;EXPIRED;2026-05-29T07:27:57;2026-05-29T14:39:43;french;../fake-data/blob/hipster.txt;phooey;whose what gladly
5;plus;delight fail;scoff notwithstanding;ACTIVE;2026-05-29T09:54:05;2026-05-29T09:50:12;quarrelsomely develop;../fake-data/blob/hipster.txt;when;eek a
6;successfully premeditation oily;nor huzzah;but aw;ACTIVE;2026-05-29T16:09:10;2026-05-28T20:48:22;hornet;../fake-data/blob/hipster.txt;warmly glow;psst
7;when supposing trolley;wee;devil;ACTIVE;2026-05-29T10:39:24;2026-05-28T18:50:09;helplessly;../fake-data/blob/hipster.txt;now;mountain well-groomed lest
8;provided nor pish;middle arid;insignificant;REVOKED;2026-05-28T20:30:43;2026-05-29T12:21:57;vivid married versus;../fake-data/blob/hipster.txt;yet;beret whereas frank
9;oof how;disadvantage;defiantly;EXPIRED;2026-05-29T14:21:49;2026-05-28T23:25:55;fooey straight mixture;../fake-data/blob/hipster.txt;absent;inasmuch
10;saw;refer offend jaggedly;meh;ACTIVE;2026-05-29T14:37:12;2026-05-29T11:01:51;redesign how;../fake-data/blob/hipster.txt;oof;if internalize
